type,date,price,shares,sentiment,reason,window,symbol,profit_pct
BUY,2022-03-15,267.3,298,-10.1974,-10.2 < -8.0,W2022,TSLA,
SELL,2022-09-23,275.33,298,14.23,AND: 14.2 > 10,W2022,TSLA,2.5929215639505454
BUY,2022-10-10,222.96,365,-10.5344,-10.5 < -8.0,W2022,TSLA,
SELL,2023-05-11,172.08,365,11.1376,AND: 11.1 > 10,W2023,TSLA,-23.128339353341453
BUY,2023-10-31,200.84,330,-17.082,-17.1 < -16.0,W2023,TSLA,
SELL,2024-12-12,418.1,330,46.1267,OR: 46.1 > 45,W2024,TSLA,107.34462248032332
BUY,2025-03-20,236.26,522,-12.0277,-12.0 < -12.0,W2025,TSLA,
BUY,2020-03-23,56.09,1423,-5.9143,-5.9 < -4.0,W2020,AAPL,
SELL,2020-08-06,113.9,1423,36.6288,OR: 36.6 > 35,W2020,AAPL,102.25585636480685
BUY,2021-05-10,126.85,1144,-5.3702,-5.4 < -4.0,W2021,AAPL,
SELL,2023-09-06,182.91,1144,9.2556,AND: 9.3 > 5,W2023,AAPL,43.61830594245405
BUY,2023-09-19,179.07,1093,3.7207,3.7 < 4.0,W2023,AAPL,
SELL,2023-10-17,177.15,1093,5.7121,AND: 5.7 > 5,W2023,AAPL,-1.467127337336837
BUY,2023-10-23,173.0,1118,3.9861,4.0 < 4.0,W2023,AAPL,
SELL,2025-12-31,271.86,1118,11.1504,AND: 11.2 > 5,W2025,AAPL,56.51718590868462
BUY,2020-03-16,135.42,589,-0.7064,-0.7 < 0.0,W2020,MSFT,
SELL,2023-05-26,332.89,589,25.6154,OR: 25.6 > 25,W2023,MSFT,144.83909254957888
BUY,2023-08-16,320.4,537,-0.0127,-0.0 < 0.0,W2023,MSFT,
SELL,2024-07-19,437.11,537,10.6046,AND: 10.6 > 10,W2024,MSFT,35.88172647992046
BUY,2024-07-31,418.35,529,-0.7139,-0.7 < 0.0,W2024,MSFT,
SELL,2025-10-10,510.96,529,12.2176,AND: 12.2 > 10,W2025,MSFT,21.649394420137487
BUY,2025-10-31,517.81,502,3.7845,3.8 < 4.0,W2025,MSFT,
BUY,2020-03-13,60.71,1315,-3.0067,-3.0 < 0.0,W2020,GOOGL,
SELL,2020-09-08,76.18,1315,15.4505,AND: 15.5 > 15,W2020,GOOGL,24.980873870956
BUY,2020-09-22,72.99,1312,-0.7891,-0.8 < 0.0,W2020,GOOGL,
SELL,2021-09-28,135.83,1312,10.1538,AND: 10.2 > 10,W2021,GOOGL,85.35109605728267
BUY,2021-12-02,142.97,1127,-0.202,-0.2 < 0.0,W2021,GOOGL,
SELL,2023-07-10,116.45,1127,12.6364,AND: 12.6 > 10,W2023,GOOGL,-18.874498003454633
BUY,2023-10-31,124.08,1102,-0.7344,-0.7 < 0.0,W2023,GOOGL,
SELL,2023-11-30,132.53,1102,10.5577,AND: 10.6 > 10,W2023,GOOGL,6.383735212570807
BUY,2024-07-31,171.54,838,-4.1495,-4.1 < -4.0,W2024,GOOGL,
SELL,2025-09-04,232.3,838,27.1962,OR: 27.2 > 25,W2025,GOOGL,34.87971063082209
BUY,2020-03-13,89.25,894,-1.0418,-1.0 < 0.0,W2020,AMZN,
SELL,2020-07-20,159.84,894,36.5767,OR: 36.6 > 35,W2020,AMZN,78.37749782013924
BUY,2020-11-24,155.9,833,-0.546,-0.5 < 0.0,W2020,AMZN,
SELL,2023-09-20,135.29,833,18.2245,AND: 18.2 > 10,W2023,AMZN,-13.566439577497134
BUY,2023-09-28,125.98,918,2.8605,2.9 < 4.0,W2023,AMZN,
SELL,2024-05-23,181.05,918,11.3671,AND: 11.4 > 10,W2024,AMZN,43.1395826562099
BUY,2024-07-19,183.13,850,3.7391,3.7 < 4.0,W2024,AMZN,
BUY,2020-03-20,5.14,15533,3.3175,3.3 < 4.0,W2020,NVDA,
SELL,2020-04-01,6.08,15533,10.0151,AND: 10.0 > 10,W2020,NVDA,17.815730878154866
BUY,2021-03-16,13.29,6863,-3.0345,-3.0 < 4.0,W2021,NVDA,
SELL,2021-08-18,19.04,6863,22.645,AND: 22.6 > 15,W2021,NVDA,42.69369519807575
BUY,2022-04-27,18.42,6643,-25.2022,-25.2 < -24.0,W2022,NVDA,
SELL,2023-05-18,31.68,6643,45.2858,OR: 45.3 > 45,W2023,NVDA,71.30039663597312
BUY,2023-10-31,40.78,4712,-0.0063,-0.0 < 0.0,W2023,NVDA,
SELL,2024-04-19,76.2,4712,28.4519,AND: 28.5 > 25,W2024,NVDA,86.11036951156862
BUY,2024-08-02,107.27,3025,3.2927,3.3 < 4.0,W2024,NVDA,
SELL,2024-08-29,117.59,3025,29.9317,AND: 29.9 > 25,W2024,NVDA,9.182976890835386
BUY,2025-03-17,119.53,2914,-10.0179,-10.0 < 4.0,W2025,NVDA,
SELL,2025-09-02,170.78,2914,34.3853,AND: 34.4 > 25,W2025,NVDA,42.30590160910994
BUY,2025-11-20,180.64,2581,3.397,3.4 < 4.0,W2025,NVDA,
BUY,2020-03-13,170.28,468,-5.4888,-5.5 < 4.0,W2020,META,
SELL,2020-07-22,239.87,468,25.3275,OR: 25.3 > 25,W2020,META,40.3056354741562
BUY,2020-09-24,249.53,422,2.9371,2.9 < 4.0,W2020,META,
SELL,2023-03-15,197.75,422,33.342,OR: 33.3 > 25,W2023,META,-21.06737481258363
