type,date,price,shares,value,sentiment,reason,batch,window,symbol,profit_pct
BUY,2020-03-16,4.91,4065,19999.088259149998,3.5336,Interval B1: sentiment 3.5 < 5 (enter buy mode),1.0,W2020,NVDA,
BUY,2020-03-23,5.32,3751,19995.250595319998,-0.0819,Interval B2: 7d since last buy,2.0,W2020,NVDA,
BUY,2020-03-25,6.14,9753,60003.24672341999,6.1892,Recovery ALL: sentiment 6.2 >= 5 (buy remaining),2.0,W2020,NVDA,
SELL,2021-08-18,19.04,17569,333845.06699376,19.8377,AND: sentiment 19.8 > 15 & price < MA50,,W2021,NVDA,233.85312761748818
BUY,2022-01-13,26.58,2507,66769.39875605998,4.7096,Interval B1: sentiment 4.7 < 5 (enter buy mode),1.0,W2022,NVDA,
BUY,2022-01-20,24.15,2759,66763.17632984999,-2.9152,Interval B2: 7d since last buy,2.0,W2022,NVDA,
BUY,2022-01-27,21.94,3037,66765.11019177998,-8.684,Interval B3: 7d since last buy,3.0,W2022,NVDA,
BUY,2022-02-03,23.95,2782,66762.22442889998,-2.6939,Interval B4: 7d since last buy,4.0,W2022,NVDA,
BUY,2022-02-09,26.71,2495,66774.79954144999,9.3889,Recovery ALL: sentiment 9.4 >= 5 (buy remaining),4.0,W2022,NVDA,
SELL,2023-05-25,37.98,13580,514737.37896839995,50.9472,OR: sentiment 50.9 > 50,,W2023,NVDA,54.18929329662632
BUY,2023-10-25,41.78,2459,102942.59677701998,4.2554,Interval B1: sentiment 4.3 < 5 (enter buy mode),1.0,W2023,NVDA,
BUY,2023-11-01,42.33,2427,102940.48255490996,-0.7075,Interval B2: 7d since last buy,2.0,W2023,NVDA,
BUY,2023-11-06,45.75,6737,308834.49371774995,5.6021,Recovery ALL: sentiment 5.6 >= 5 (buy remaining),2.0,W2023,NVDA,
SELL,2024-05-01,83.04,11623,963244.53733392,26.4209,AND: sentiment 26.4 > 25 & price < MA50,,W2024,NVDA,87.14040238158898
BUY,2024-07-30,103.73,1853,192596.30559168998,1.2668,Interval B1: sentiment 1.3 < 5 (enter buy mode),1.0,W2024,NVDA,
BUY,2024-08-06,104.25,1844,192621.66623699997,0.9589,Interval B2: 7d since last buy,2.0,W2024,NVDA,
BUY,2024-08-13,116.14,4967,578021.6916273799,7.3408,Recovery ALL: sentiment 7.3 >= 5 (buy remaining),2.0,W2024,NVDA,
SELL,2024-08-29,117.59,8664,1016763.1792797599,31.2653,AND: sentiment 31.3 > 25 & price < MA50,,W2024,NVDA,5.556614605304939
BUY,2024-09-10,108.1,1877,203309.71030369995,4.282,Interval B1: sentiment 4.3 < 5 (enter buy mode),1.0,W2024,NVDA,
BUY,2024-09-11,116.91,6944,813447.4979030399,6.9596,Recovery ALL: sentiment 7.0 >= 5 (buy remaining),1.0,W2024,NVDA,
SELL,2025-09-02,170.78,8821,1503438.98569038,33.4825,AND: sentiment 33.5 > 25 & price < MA50,,W2025,NVDA,47.86607594766931
BUY,2025-11-14,190.17,1578,300688.7366082599,4.8269,Interval B1: sentiment 4.8 < 5 (enter buy mode),1.0,W2025,NVDA,
BUY,2025-11-21,178.88,1677,300582.02350176,1.432,Interval B2: 7d since last buy,2.0,W2025,NVDA,
BUY,2025-11-25,177.82,5063,902104.1656226597,5.233,Recovery ALL: sentiment 5.2 >= 5 (buy remaining),2.0,W2025,NVDA,
BUY,2020-03-18,24.08,828,19978.136418239996,4.3583,Interval B1: sentiment 4.4 < 5 (enter buy mode),1.0,W2020,TSLA,
BUY,2020-03-25,35.95,555,19992.174452249998,4.5262,Interval B2: 7d since last buy,2.0,W2020,TSLA,
BUY,2020-03-26,35.21,1701,60012.05431221,6.8837,Recovery ALL: sentiment 6.9 >= 5 (buy remaining),2.0,W2020,TSLA,
SELL,2020-04-08,36.59,3084,112617.98572356,15.9048,AND: sentiment 15.9 > 15 & price < MA50,,W2020,TSLA,12.637849202477527
BUY,2021-04-29,225.67,99,22386.035001329994,3.8068,Interval B1: sentiment 3.8 < 5 (enter buy mode),1.0,W2021,TSLA,
BUY,2021-05-06,221.18,101,22383.880699179997,-3.2614,Interval B2: 7d since last buy,2.0,W2021,TSLA,
BUY,2021-05-13,190.56,117,22340.133335519993,-16.4123,Interval B3: 7d since last buy,3.0,W2021,TSLA,
BUY,2021-05-20,195.59,114,22341.876817259996,-16.7898,Interval B4: 7d since last buy,4.0,W2021,TSLA,
BUY,2021-05-27,210.28,106,22334.281649679997,-9.6045,Interval B5: 7d since last buy,5.0,W2021,TSLA,
BUY,2021-08-03,236.58,3,711.1601897399999,6.2562,Recovery ALL: sentiment 6.3 >= 5 (buy remaining),47.0,W2021,TSLA,
SELL,2021-12-31,352.26,540,189840.1494204,26.9072,AND: sentiment 26.9 > 25 & price < MA50,,W2021,TSLA,68.7507479632361
BUY,2022-01-27,276.37,137,37938.45324269,2.2465,Interval B1: sentiment 2.2 < 5 (enter buy mode),1.0,W2022,TSLA,
BUY,2022-02-03,297.05,127,37800.83842535,0.2209,Interval B2: 7d since last buy,2.0,W2022,TSLA,
BUY,2022-02-10,301.52,125,37765.417689999995,3.4539,Interval B3: 7d since last buy,3.0,W2022,TSLA,
BUY,2022-02-17,292.12,129,37758.88464347999,2.2125,Interval B4: 7d since last buy,4.0,W2022,TSLA,
BUY,2022-02-24,266.92,142,37978.48318264,-8.2537,Interval B5: 7d since last buy,5.0,W2022,TSLA,
BUY,2022-03-24,337.97,2,677.2925559399999,7.3149,Recovery ALL: sentiment 7.3 >= 5 (buy remaining),20.0,W2022,TSLA,
SELL,2023-09-01,245.01,662,161872.38895661998,20.47,AND: sentiment 20.5 > 20 & price < MA50,,W2023,TSLA,-14.767835856796271
BUY,2023-10-19,220.11,146,32200.364256059995,2.2362,Interval B1: sentiment 2.2 < 5 (enter buy mode),1.0,W2023,TSLA,
BUY,2023-10-26,205.76,157,32368.960944319988,-16.3522,Interval B2: 7d since last buy,2.0,W2023,TSLA,
BUY,2023-11-02,218.51,147,32185.24406096999,-17.8017,Interval B3: 7d since last buy,3.0,W2023,TSLA,
BUY,2023-11-09,209.98,153,32191.22600693999,-13.1512,Interval B4: 7d since last buy,4.0,W2023,TSLA,
BUY,2023-11-16,233.59,138,32299.923075419993,1.9147,Interval B5: 7d since last buy,5.0,W2023,TSLA,
BUY,2023-11-28,246.72,2,494.4273734399999,6.1227,Recovery ALL: sentiment 6.1 >= 5 (buy remaining),7.0,W2023,TSLA,
SELL,2024-12-12,418.1,743,310027.31404830003,52.3373,OR: sentiment 52.3 > 50,,W2024,TSLA,91.6823511402504
BUY,2025-02-26,290.8,212,61772.96084959999,1.75,Interval B1: sentiment 1.8 < 5 (enter buy mode),1.0,W2025,TSLA,
BUY,2025-03-05,279.1,221,61804.523881099994,-2.6588,Interval B2: 7d since last buy,2.0,W2025,TSLA,
BUY,2025-03-12,248.09,249,61898.02059440999,-15.487,Interval B3: 7d since last buy,3.0,W2025,TSLA,
BUY,2025-03-19,235.86,262,61918.97243531999,-12.4781,Interval B4: 7d since last buy,4.0,W2025,TSLA,
BUY,2025-03-26,272.06,227,61881.19699761999,-4.3606,Interval B5: 7d since last buy,5.0,W2025,TSLA,
BUY,2025-05-14,347.68,2,696.7514153599999,5.8756,Recovery ALL: sentiment 5.9 >= 5 (buy remaining),34.0,W2025,TSLA,
BUY,2020-03-11,68.86,289,19940.36098053999,4.946,Interval B1: sentiment 4.9 < 5 (enter buy mode),1.0,W2020,AAPL,
BUY,2020-03-18,61.67,323,19959.268739409996,-2.1706,Interval B2: 7d since last buy,2.0,W2020,AAPL,
BUY,2020-03-25,61.38,325,19988.416948499995,-8.4721,Interval B3: 7d since last buy,3.0,W2020,AAPL,
BUY,2020-04-01,60.23,331,19976.022196129994,-6.8899,Interval B4: 7d since last buy,4.0,W2020,AAPL,
BUY,2020-04-08,66.52,300,19995.931955999993,-2.1752,Interval B5: 7d since last buy,5.0,W2020,AAPL,
BUY,2020-04-15,71.11,1,71.25229110999999,5.6047,Recovery ALL: sentiment 5.6 >= 5 (buy remaining),5.0,W2020,AAPL,
SELL,2020-08-06,113.9,1569,178351.86050910002,40.7535,OR: sentiment 40.8 > 40,,W2020,AAPL,78.47455621292154
BUY,2020-10-30,108.86,327,35668.45003721999,4.4098,Interval B1: sentiment 4.4 < 5 (enter buy mode),1.0,W2020,AAPL,
BUY,2020-11-05,119.03,1196,142644.74211987996,6.1032,Recovery ALL: sentiment 6.1 >= 5 (buy remaining),1.0,W2020,AAPL,
SELL,2024-09-04,220.85,1523,335682.17725455,17.979,AND: sentiment 18.0 > 15 & price < MA50,,W2024,AAPL,88.2542582484882
BUY,2024-10-03,225.67,296,66931.98343831998,4.9235,Interval B1: sentiment 4.9 < 5 (enter buy mode),1.0,W2024,AAPL,
BUY,2024-10-09,229.54,1168,268639.19354271994,5.6866,Recovery ALL: sentiment 5.7 >= 5 (buy remaining),1.0,W2024,AAPL,
SELL,2025-01-10,236.85,1464,346055.24994839996,10.7675,AND: sentiment 10.8 > 10 & price < MA50,,W2025,AAPL,3.1242471602238977
BUY,2025-01-16,228.26,302,69072.45797451999,2.4152,Interval B1: sentiment 2.4 < 5 (enter buy mode),1.0,W2025,AAPL,
BUY,2025-01-23,223.66,309,69249.23099093998,-0.6213,Interval B2: 7d since last buy,2.0,W2025,AAPL,
BUY,2025-01-30,237.59,290,69038.97110109999,4.6877,Interval B3: 7d since last buy,3.0,W2025,AAPL,
BUY,2025-02-06,233.22,296,69171.25527311998,3.5881,Interval B4: 7d since last buy,4.0,W2025,AAPL,
BUY,2025-02-13,241.53,286,69215.80423757999,4.7714,Interval B5: 7d since last buy,5.0,W2025,AAPL,
BUY,2025-02-14,244.6,2,490.17888919999984,6.0509,Recovery ALL: sentiment 6.1 >= 5 (buy remaining),5.0,W2025,AAPL,
SELL,2025-12-31,271.86,1485,402905.0795121,11.4822,AND: sentiment 11.5 > 10 & price < MA50,,W2025,AAPL,16.36654488045001
BUY,2020-02-28,162.01,123,19967.104387229992,4.9826,Interval B1: sentiment 5.0 < 5 (enter buy mode),1.0,W2020,MSFT,
BUY,2020-03-02,172.79,462,79988.71778898,7.2701,Recovery ALL: sentiment 7.3 >= 5 (buy remaining),1.0,W2020,MSFT,
BUY,2020-01-02,68.43,291,19952.97617313,3.1412,Interval B1: sentiment 3.1 < 5 (enter buy mode),1.0,W2020,GOOGL,
